timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721422277837,7801,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC2_buy 2-6,,true,,24759,4552,8,20,null,0,3,280
1721422277838,425,go_home/-349,200,,UC2_buy 2-6,text,true,,3368,552,8,20,https://www.advantageonlineshopping.com/,424,0,280
1721422278263,137,go_home/services.properties-352,200,,UC2_buy 2-6,,true,,1378,448,8,20,https://www.advantageonlineshopping.com/services.properties,137,0,0
1721422278401,142,go_home/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL-353,200,,UC2_buy 2-6,text,true,,6974,510,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,142,0,0
1721422278543,148,go_home/accountservice/ws/GetAccountConfigurationRequest-354,200,,UC2_buy 2-6,text,true,,1570,1102,8,20,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,148,0,0
1721422278692,3329,go_home/catalog/api/v1/categories-355,200,,UC2_buy 2-6,text,true,,7019,484,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/categories,3329,0,0
1721422282021,3340,go_home/catalog/api/v1/deals/search-356,200,,UC2_buy 2-6,text,true,,783,504,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,3340,0,0
1721422285361,140,go_home/app/tempFiles/popularProducts.json-357,200,,UC2_buy 2-6,text,true,,965,493,8,20,https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json,140,0,0
1721422285501,140,go_home/app/views/home-page.html-358,200,,UC2_buy 2-6,text,true,,2702,459,8,20,https://www.advantageonlineshopping.com/app/views/home-page.html,139,0,0
1721422277959,7754,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC2_buy 2-7,,true,,24764,4552,8,20,null,0,6,276
1721422277962,411,go_home/-349,200,,UC2_buy 2-7,text,true,,3368,552,8,20,https://www.advantageonlineshopping.com/,411,0,276
1721422278374,136,go_home/services.properties-352,200,,UC2_buy 2-7,,true,,1378,448,8,20,https://www.advantageonlineshopping.com/services.properties,136,0,0
1721422278511,138,go_home/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL-353,200,,UC2_buy 2-7,text,true,,6974,510,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,138,0,0
1721422278649,176,go_home/accountservice/ws/GetAccountConfigurationRequest-354,200,,UC2_buy 2-7,text,true,,1570,1102,8,20,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,176,0,0
1721422278825,3286,go_home/catalog/api/v1/categories-355,200,,UC2_buy 2-7,text,true,,7024,484,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/categories,3286,0,0
1721422282111,3336,go_home/catalog/api/v1/deals/search-356,200,,UC2_buy 2-7,text,true,,783,504,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,3336,0,0
1721422285448,135,go_home/app/tempFiles/popularProducts.json-357,200,,UC2_buy 2-7,text,true,,965,493,8,20,https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json,135,0,0
1721422285583,136,go_home/app/views/home-page.html-358,200,,UC2_buy 2-7,text,true,,2702,459,8,20,https://www.advantageonlineshopping.com/app/views/home-page.html,136,0,0
1721422277561,8522,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC3_login_logout 3-2,,true,,24750,4552,3,20,null,0,5,406
1721422277561,555,go_home/-349,200,,UC3_login_logout 3-2,text,true,,3368,552,3,20,https://www.advantageonlineshopping.com/,554,0,406
1721422278118,139,go_home/services.properties-352,200,,UC3_login_logout 3-2,,true,,1378,448,3,20,https://www.advantageonlineshopping.com/services.properties,139,0,0
1721422278258,178,go_home/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL-353,200,,UC3_login_logout 3-2,text,true,,6974,510,3,20,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,178,0,0
1721422278437,191,go_home/accountservice/ws/GetAccountConfigurationRequest-354,200,,UC3_login_logout 3-2,text,true,,1570,1102,3,20,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,191,0,0
1721422278628,3247,go_home/catalog/api/v1/categories-355,200,,UC3_login_logout 3-2,text,true,,7010,484,3,20,https://www.advantageonlineshopping.com/catalog/api/v1/categories,3246,0,0
1721422281875,3931,go_home/catalog/api/v1/deals/search-356,200,,UC3_login_logout 3-2,text,true,,783,504,3,20,https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,3931,0,0
1721422285807,142,go_home/app/tempFiles/popularProducts.json-357,200,,UC3_login_logout 3-2,text,true,,965,493,3,20,https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json,142,0,0
1721422285949,139,go_home/app/views/home-page.html-358,200,,UC3_login_logout 3-2,text,true,,2702,459,3,20,https://www.advantageonlineshopping.com/app/views/home-page.html,139,0,0
1721422277593,8584,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC2_buy 2-4,,true,,24788,4552,8,20,null,0,5,373
1721422277594,522,go_home/-349,200,,UC2_buy 2-4,text,true,,3368,552,8,20,https://www.advantageonlineshopping.com/,521,0,373
1721422278118,139,go_home/services.properties-352,200,,UC2_buy 2-4,,true,,1378,448,8,20,https://www.advantageonlineshopping.com/services.properties,138,0,0
1721422278258,169,go_home/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL-353,200,,UC2_buy 2-4,text,true,,6974,510,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,169,0,0
1721422278427,182,go_home/accountservice/ws/GetAccountConfigurationRequest-354,200,,UC2_buy 2-4,text,true,,1570,1102,8,20,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,182,0,0
1721422278609,3214,go_home/catalog/api/v1/categories-355,200,,UC2_buy 2-4,text,true,,7048,484,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/categories,3214,0,0
1721422281824,4086,go_home/catalog/api/v1/deals/search-356,200,,UC2_buy 2-4,text,true,,783,504,8,20,https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,4086,0,0
1721422285910,136,go_home/app/tempFiles/popularProducts.json-357,200,,UC2_buy 2-4,text,true,,965,493,8,20,https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json,136,0,0
1721422286046,136,go_home/app/views/home-page.html-358,200,,UC2_buy 2-4,text,true,,2702,459,8,20,https://www.advantageonlineshopping.com/app/views/home-page.html,136,0,0
1721422277237,8917,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC4_select_dont_buy 4-1,,true,,24776,4552,2,20,null,0,90,646
1721422277321,795,go_home/-349,200,,UC4_select_dont_buy 4-1,text,true,,3368,552,2,20,https://www.advantageonlineshopping.com/,794,0,646
