timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721054592700,62443,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054592794,5292,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054592794,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054593806,62551,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054593806,50989,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054593806,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054594821,62596,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054594821,74308,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054594821,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054595827,62625,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054595827,23635,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054595827,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054596827,62711,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054596827,4232,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054596827,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054597828,62708,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054597828,3203,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054597828,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054598830,62534,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054598830,3357,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054598830,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054599831,62590,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054599831,1834,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054599831,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054600834,62584,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054600834,2059,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054600834,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054601847,62583,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054601847,2444,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054601847,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054602848,62791,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054602848,2353,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054602848,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054603849,62776,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054603849,2661,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054603849,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054604851,62575,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054604851,3807,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054604851,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054605851,62680,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054605851,2547,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054605851,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054606853,62626,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054606853,2465,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054606853,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054607855,62636,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054607855,2099,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054607855,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054608857,62566,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054608857,901,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054608857,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054609859,62567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054609859,1691,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054609859,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054610859,62563,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054610859,1294,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054610859,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054611873,62566,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054611873,1918,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054611873,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054612874,62774,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054612874,2425,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054612874,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054613875,62777,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054613875,2873,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054613875,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054614876,62617,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054614876,2742,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054614876,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054615877,62611,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721054615877,1907,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721054615877,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721054616892,62611,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
