timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721582863891,4641,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC2_buy 2-1,,true,,24866,4552,1,4,null,0,92,769
1721582863891,4642,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC1_looking_through 1-1,,true,,24869,4552,1,4,null,0,91,769
1721582863979,910,go_home/-349,200,,UC2_buy 2-1,text,true,,3368,552,1,4,https://www.advantageonlineshopping.com/,909,0,769
1721582863979,910,go_home/-349,200,,UC1_looking_through 1-1,text,true,,3375,552,1,4,https://www.advantageonlineshopping.com/,909,0,769
1721582864890,124,go_home/services.properties-352,200,,UC2_buy 2-1,,true,,1378,448,1,4,https://www.advantageonlineshopping.com/services.properties,124,0,0
1721582864890,125,go_home/services.properties-352,200,,UC1_looking_through 1-1,,true,,1378,448,1,4,https://www.advantageonlineshopping.com/services.properties,125,0,0
1721582865015,124,go_home/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL-353,200,,UC2_buy 2-1,text,true,,6974,510,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,124,0,0
1721582865015,128,go_home/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL-353,200,,UC1_looking_through 1-1,text,true,,6974,510,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,128,0,0
1721582865140,171,go_home/accountservice/ws/GetAccountConfigurationRequest-354,200,,UC2_buy 2-1,text,true,,1570,1102,1,4,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,171,0,0
1721582865143,168,go_home/accountservice/ws/GetAccountConfigurationRequest-354,200,,UC1_looking_through 1-1,text,true,,1570,1102,1,4,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,168,0,0
1721582865312,1556,go_home/catalog/api/v1/categories-355,200,,UC2_buy 2-1,text,true,,7126,484,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories,1556,0,0
1721582865312,1515,go_home/catalog/api/v1/categories-355,200,,UC1_looking_through 1-1,text,true,,7122,484,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories,1515,0,0
1721582866868,1507,go_home/catalog/api/v1/deals/search-356,200,,UC2_buy 2-1,text,true,,783,504,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,1507,0,0
1721582866828,1547,go_home/catalog/api/v1/deals/search-356,200,,UC1_looking_through 1-1,text,true,,783,504,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,1547,0,0
1721582868375,127,go_home/app/tempFiles/popularProducts.json-357,200,,UC2_buy 2-1,text,true,,965,493,1,4,https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json,126,0,0
1721582868375,127,go_home/app/tempFiles/popularProducts.json-357,200,,UC1_looking_through 1-1,text,true,,965,493,1,4,https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json,126,0,0
1721582868502,122,go_home/app/views/home-page.html-358,200,,UC2_buy 2-1,text,true,,2702,459,1,4,https://www.advantageonlineshopping.com/app/views/home-page.html,121,0,0
1721582868502,122,go_home/app/views/home-page.html-358,200,,UC1_looking_through 1-1,text,true,,2702,459,1,4,https://www.advantageonlineshopping.com/app/views/home-page.html,121,0,0
1721582863891,4655,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC4_select_dont_buy 4-1,,true,,24861,4552,1,4,null,0,91,769
1721582863891,4655,go_home,200,"Number of samples in transaction : 8, number of failing samples : 0",UC3_login_logout 3-1,,true,,24840,4552,1,4,null,0,91,769
1721582863979,910,go_home/-349,200,,UC4_select_dont_buy 4-1,text,true,,3368,552,1,4,https://www.advantageonlineshopping.com/,909,0,769
1721582863979,910,go_home/-349,200,,UC3_login_logout 3-1,text,true,,3368,552,1,4,https://www.advantageonlineshopping.com/,909,0,769
1721582864890,124,go_home/services.properties-352,200,,UC4_select_dont_buy 4-1,,true,,1378,448,1,4,https://www.advantageonlineshopping.com/services.properties,124,0,0
1721582864890,124,go_home/services.properties-352,200,,UC3_login_logout 3-1,,true,,1378,448,1,4,https://www.advantageonlineshopping.com/services.properties,124,0,0
1721582865015,129,go_home/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL-353,200,,UC4_select_dont_buy 4-1,text,true,,6974,510,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,129,0,0
1721582865015,135,go_home/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL-353,200,,UC3_login_logout 3-1,text,true,,6976,510,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,135,0,0
1721582865144,167,go_home/accountservice/ws/GetAccountConfigurationRequest-354,200,,UC4_select_dont_buy 4-1,text,true,,1570,1102,1,4,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,167,0,0
1721582865150,161,go_home/accountservice/ws/GetAccountConfigurationRequest-354,200,,UC3_login_logout 3-1,text,true,,1570,1102,1,4,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,161,0,0
1721582865312,1556,go_home/catalog/api/v1/categories-355,200,,UC4_select_dont_buy 4-1,text,true,,7121,484,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories,1556,0,0
1721582865312,1563,go_home/catalog/api/v1/categories-355,200,,UC3_login_logout 3-1,text,true,,7098,484,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories,1563,0,0
1721582866868,1520,go_home/catalog/api/v1/deals/search-356,200,,UC4_select_dont_buy 4-1,text,true,,783,504,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,1520,0,0
1721582866875,1513,go_home/catalog/api/v1/deals/search-356,200,,UC3_login_logout 3-1,text,true,,783,504,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,1513,0,0
1721582868388,124,go_home/app/tempFiles/popularProducts.json-357,200,,UC4_select_dont_buy 4-1,text,true,,965,493,1,4,https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json,123,0,0
1721582868388,124,go_home/app/tempFiles/popularProducts.json-357,200,,UC3_login_logout 3-1,text,true,,965,493,1,4,https://www.advantageonlineshopping.com/app/tempFiles/popularProducts.json,123,0,0
1721582868512,125,go_home/app/views/home-page.html-358,200,,UC4_select_dont_buy 4-1,text,true,,2702,459,1,4,https://www.advantageonlineshopping.com/app/views/home-page.html,125,0,0
1721582868512,125,go_home/app/views/home-page.html-358,200,,UC3_login_logout 3-1,text,true,,2702,459,1,4,https://www.advantageonlineshopping.com/app/views/home-page.html,125,0,0
1721582868625,581,sign_in,200,"Number of samples in transaction : 2, number of failing samples : 0",UC2_buy 2-1,,true,,2163,1691,1,4,null,0,0,0
1721582868625,279,sign_in/accountservice/ws/AccountLoginRequest-359,200,,UC2_buy 2-1,text,true,,1541,1157,1,4,https://www.advantageonlineshopping.com/accountservice/ws/AccountLoginRequest,279,0,0
1721582868905,302,sign_in/order/api/v1/carts/142175287-360,200,,UC2_buy 2-1,text,true,,622,534,1,4,https://www.advantageonlineshopping.com/order/api/v1/carts/957767301,302,0,0
1721582868638,663,sign_in,200,"Number of samples in transaction : 2, number of failing samples : 0",UC4_select_dont_buy 4-1,,true,,2158,1686,1,4,null,0,2,0
1721582868638,249,sign_in/accountservice/ws/AccountLoginRequest-359,200,,UC4_select_dont_buy 4-1,text,true,,1536,1156,1,4,https://www.advantageonlineshopping.com/accountservice/ws/AccountLoginRequest,249,0,0
1721582868890,414,sign_in/order/api/v1/carts/142175287-360,200,,UC4_select_dont_buy 4-1,text,true,,622,530,1,4,https://www.advantageonlineshopping.com/order/api/v1/carts/309299120,413,0,0
1721582868638,667,sign_in,200,"Number of samples in transaction : 2, number of failing samples : 0",UC3_login_logout 3-1,,true,,2163,1692,1,4,null,0,0,0
1721582868638,284,sign_in/accountservice/ws/AccountLoginRequest-359,200,,UC3_login_logout 3-1,text,true,,1543,1158,1,4,https://www.advantageonlineshopping.com/accountservice/ws/AccountLoginRequest,284,0,0
1721582868923,383,sign_in/order/api/v1/carts/142175287-360,200,,UC3_login_logout 3-1,text,true,,620,534,1,4,https://www.advantageonlineshopping.com/order/api/v1/carts/391709137,383,0,0
1721582869306,299,sign_out,200,"Number of samples in transaction : 1, number of failing samples : 0",UC3_login_logout 3-1,,true,,1149,1162,1,4,null,0,1,0
1721582869307,299,sign_out/accountservice/ws/AccountLogoutRequest-361,200,,UC3_login_logout 3-1,text,true,,1149,1162,1,4,https://www.advantageonlineshopping.com/accountservice/ws/AccountLogoutRequest,299,0,0
1721582868625,3255,go_speakers,200,"Number of samples in transaction : 3, number of failing samples : 0",UC1_looking_through 1-1,,true,,4555,1468,1,4,null,0,2,0
1721582868625,1591,go_speakers/catalog/api/v1/categories/4/products-637,200,,UC1_looking_through 1-1,text,true,,2417,510,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories/4/products,1591,0,0
1721582870218,1538,go_speakers/catalog/api/v1/categories/attributes-638,200,,UC1_looking_through 1-1,text,true,,984,495,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories/attributes,1538,0,0
1721582871756,126,go_speakers/app/views/category-page.html-639,200,,UC1_looking_through 1-1,text,true,,1154,463,1,4,https://www.advantageonlineshopping.com/app/views/category-page.html,126,0,0
1721582869208,3278,go_speakers,200,"Number of samples in transaction : 3, number of failing samples : 0",UC2_buy 2-1,,true,,4554,1468,1,4,null,0,1,0
1721582869208,1633,go_speakers/catalog/api/v1/categories/4/products-637,200,,UC2_buy 2-1,text,true,,2416,510,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories/4/products,1633,0,0
1721582870842,1518,go_speakers/catalog/api/v1/categories/attributes-638,200,,UC2_buy 2-1,text,true,,984,495,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories/attributes,1518,0,0
1721582872360,127,go_speakers/app/views/category-page.html-639,200,,UC2_buy 2-1,text,true,,1154,463,1,4,https://www.advantageonlineshopping.com/app/views/category-page.html,127,0,0
1721582869304,3339,go_speakers,200,"Number of samples in transaction : 3, number of failing samples : 0",UC4_select_dont_buy 4-1,,true,,4544,1468,1,4,null,0,1,0
1721582869304,1646,go_speakers/catalog/api/v1/categories/4/products-576,200,,UC4_select_dont_buy 4-1,text,true,,2406,510,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories/4/products,1646,0,0
1721582870951,1556,go_speakers/catalog/api/v1/categories/attributes-577,200,,UC4_select_dont_buy 4-1,text,true,,984,495,1,4,https://www.advantageonlineshopping.com/catalog/api/v1/categories/attributes,1556,0,0
